title,artist,year,position,mood_tone,instrumentation,genre,lyrics
Tie a Yellow Ribbon Round the Ole Oak Tree,Tony Orlando and Dawn,1973,1,"hopeful, heartfelt, upbeat","guitar, piano, vocal harmonies","pop, soft rock","[Verse]
I’ve been gone for far too long  
Felt every mile, wrote every song  
Now I’m coming back to see  
If you’ve been waiting still for me  

[Chorus]
Tie a yellow ribbon ‘round the ole oak tree  
If you still care, if you still want me  
One ribbon means I’m welcome home  
If not, I’ll keep moving on alone  

[Verse]
The road was hard, the nights were cold  
But your memory, it took hold  
I dreamed of you and that old porch swing  
Of second chances love can bring  

[Bridge]
The bus is near, I hold my breath  
Will I find love or find regret?  

[Outro]
Tie that ribbon if you believe  
And I’ll never again leave"
"Bad, Bad Leroy Brown",Jim Croce,1973,2,"brash, humorous, energetic","piano, electric guitar, male vocals","rock, singer-songwriter","[Verse]
Down in the South Side of the town  
Leroy Brown came struttin’ ‘round  
Diamond rings and custom shoes  
He never cared what he could lose  

[Chorus]
He’s bad, bad Leroy Brown  
Baddest man to come around  
Meaner than a junkyard dog  
Drinks his whiskey, rolls in fog  

[Verse]
He played his cards with no regret  
And left a trail of unpaid debt  
Took your girl and took your pride  
Then vanished with a crooked smile  

[Bridge]
But one day he met his match  
A shadow quick enough to catch  

[Outro]
Now folks just talk about Leroy Brown  
The legend who once ruled the town"
Killing Me Softly with His Song,Roberta Flack,1973,3,"intimate, emotional, smooth","piano, soft percussion, female vocals","soul, R&B","[Verse]
He sang a tune so soft and low  
Told stories only hearts could know  
Each word a ribbon round my chest  
A quiet storm I can't suppress  

[Chorus]
Killing me softly with his song  
Every note feels deep and long  
He doesn’t know he holds my pain  
But still I listen once again  

[Verse]
His fingers dance across the keys  
My sorrow rides the gentle breeze  
He weaves the truth I try to hide  
And brings it pouring from inside  

[Bridge]
No spotlight knows my name  
But he sees me just the same  

[Outro]
Killing me softly, line by line  
He stole the hurt and made it mine"
Let's Get It On,Marvin Gaye,1973,4,"sensual, soulful, passionate","bass, smooth rhythm, male vocals","soul, R&B","[Verse]
We’ve waited long, we’ve waited slow  
Now let the rhythm take control  
You touch my hand, I feel the flame  
No more games, no more shame  

[Chorus]
Let’s get it on, just you and me  
Let passion set our spirits free  
No need to talk, just feel the night  
And hold me close till morning light  

[Verse]
The world can fade, the time can pause  
Let’s break the rules, rewrite the laws  
Your eyes are stars, your skin the spark  
Let’s love like fire in the dark  

[Bridge]
Don’t hesitate, don’t say a word  
Just move with me and feel the surge  

[Outro]
Let’s get it on, and let it stay  
Like love was made for us today"
My Love,Paul McCartney and Wings,1973,5,"romantic, heartfelt, melodic","strings, melodic piano, soft vocals","soft rock, pop","[Verse]
My love is more than words can say  
She lights my sky and guides my way  
With every smile, she lifts me high  
She paints the dawn across my sky  

[Chorus]
My love, she walks in quiet grace  
Turns every room to sacred space  
With just one glance, she speaks the truth  
And makes me feel eternal youth  

[Verse]
Through every storm, she holds my hand  
And makes me feel I understand  
The kind of love that doesn’t fade  
But deepens every choice we’ve made  

[Bridge]
No song could hold her name just right  
She is the day, she is the night  

[Outro]
My love, forever she will be  
The soul that walks this world with me"
The Way We Were,Barbara Streisand,1974,1,"nostalgic, sentimental, emotional","orchestral strings, piano, female vocals","ballad, pop","[Verse]
Memories drift like autumn leaves  
Of golden days and silent eves  
A touch, a glance, a whispered word  
Now echoes I have barely heard  

[Chorus]
The way we were, so bright, so bold  
Before the nights turned dark and cold  
If I could turn the hands of time  
I'd hold you close and make you mine  

[Verse]
We smiled through storms and kissed through rain  
But now I walk with quiet pain  
Your voice still lingers in my mind  
A love so rare, so hard to find  

[Bridge]
We let it go, not knowing why  
But still I miss your last goodbye  

[Outro]
The way we were lives in my soul  
A love once young that made me whole"
Seasons in the Sun,Terry Jacks,1974,2,"sad, reflective, melodic","acoustic guitar, soft vocals","folk-pop, soft rock","[Verse]
Goodbye my friend, it’s time to part  
But know you’ll always have my heart  
We climbed the hills, we chased the wind  
Now I must go where journeys end  

[Chorus]
We had joy, we had fun  
We had seasons in the sun  
But like the tide that comes and goes  
Our story’s written in the snow  

[Verse]
Goodbye to love that made me shine  
To laughs that echoed through the pines  
I’ll carry all those days with grace  
And smile whenever I see your face  

[Bridge]
No regrets, just one more song  
To say I loved you all along  

[Outro]
We had seasons, we had sun  
And now my time has come and gone"
Love's Theme,Love Unlimited Orchestra,1974,3,"romantic, elegant, smooth","instrumental strings, disco rhythm","instrumental, disco",
Come and Get Your Love,Redbone,1974,4,"fun, upbeat, funky","bass, drums, electric guitar, vocals","rock, funk","[Verse]
Hey now, what’s the matter with your heart?  
You’ve been hiding, falling apart  
Come step into this groove with me  
Let go, baby, and just be free  

[Chorus]
Come and get your love  
You don’t have to push or shove  
I’ve got enough to go around  
Let’s lift this love up off the ground  

[Verse]
You don’t need makeup or disguise  
I see the fire behind your eyes  
So stop pretending you don’t feel  
This beat is strong, this love is real  

[Bridge]
Don’t wait, don’t hesitate  
We’ve got the rhythm, now don’t be late  

[Outro]
Come and get your love tonight  
We’ll dance until the morning light"
Dancing Machine,The Jackson 5,1974,5,"playful, energetic, groovy","funk rhythm, synthesizers, group vocals","funk, soul, disco","[Verse]
She walks in with electric flair  
Turns the music into air  
Every eye is locked in place  
She moves with rhythm, style, and grace  

[Chorus]
Dancing machine, light on her feet  
She makes the pulse skip every beat  
Twist and spin, a living flame  
No one else can play her game  

[Verse]
From the disco floor to neon skies  
She takes you high, she makes you fly  
Not a word, just silent heat  
Every move is sweet defeat  

[Bridge]
You can’t touch what moves so fast  
Just feel her fire as she blasts  

[Outro]
Dancing machine, take the lead  
You’re the only dance I need"
Love Will Keep Us Together,Captain & Tennille,1975,1,"romantic, determined, lively","synths, piano, drums, vocal harmony","pop, soft rock","[Verse]
They talk and try to tear us down  
But we keep rising off the ground  
No storm can shake the faith we hold  
Our love is fire, burning bold  

[Chorus]
Love will keep us together  
Through any storm, through any weather  
Even when the nights get long  
Our hearts still beat this faithful song  

[Verse]
You and me, we’ve been through time  
Every scar just proves the climb  
So let them doubt, and let them say  
We’re only growing every day  

[Bridge]
Hold me close and don’t let go  
You're the only truth I know  

[Outro]
Love will keep us strong and free  
You and I, eternally"
Rhinestone Cowboy,Glen Campbell,1975,2,"inspirational, nostalgic, hopeful","acoustic guitar, lush strings",country-pop,"[Verse]
I walk these streets with dreams in tow  
A quiet name, a steady glow  
The flashing lights don’t know my name  
But I keep riding just the same  

[Chorus]
Like a rhinestone cowboy  
Chasing lights through smoke and noise  
Riding high on dreams and grace  
Still smiling through this worn-out face  

[Verse]
They laugh at hope, they mock the tune  
But I keep dancing to my moon  
I’ve worn out boots, but not my pride  
With every fall, I still ride  

[Bridge]
Fame may come or pass me by  
But I’ll keep reaching for the sky  

[Outro]
I’m just a rhinestone cowboy  
But this dream will never die"
Philadelphia Freedom,Elton John,1975,3,"spirited, upbeat, anthemic","orchestration, piano, vocal harmonies",pop rock,"[Verse]
City lights and flags that wave  
I’ve found the strength I need to save  
Through every block and every song  
This city's heartbeat makes me strong  

[Chorus]
Philadelphia freedom, my soul's release  
Running wild in streets of peace  
Raise your hands, feel the sound  
Love and rhythm all around  

[Verse]
I don’t need no crown or throne  
This town of dreams is all my own  
With every cheer and every fight  
We dance beneath the liberty light  

[Bridge]
From riverside to neon signs  
This city’s pulse beats in my lines  

[Outro]
Philadelphia freedom, I won’t let go  
You lift me high, you make me glow"
Before the Next Teardrop Falls,Freddy Fender,1975,4,"bilingual, heartfelt, emotional","accordion, bilingual male vocals","country, Tejano","[Verse]
If he breaks your heart again  
If you need a softer friend  
I’ll be here with open arms  
To pull you safe from all harm  

[Chorus]
Before the next teardrop falls  
I’ll catch your sorrow as it calls  
No need to face the night alone  
I’ll guide you gently back home  

[Verse]
If he forgets the way you shine  
Just know your light is always mine  
I won’t replace what’s left behind  
But I’ll be here, tender and kind  

[Bridge]
Sometimes love can disappear  
But I’ll be standing always near  

[Outro]
Before the next teardrop shows  
I’ll be the one who always knows"
My Eyes Adored You,Frankie Valli,1975,5,"sweet, longing, reflective","orchestral backing, soft vocals","pop, soul","[Verse]
From across the crowded room  
I watched you bloom from girl to tune  
You never saw the love I gave  
But still, I followed like a wave  

[Chorus]
My eyes adored you  
Though you never really knew  
Every step you took away  
Was written in my heart to stay  

[Verse]
I held the silence like a prayer  
A love so deep I wouldn’t dare  
To say the words, to speak the truth  
That you were all my vanished youth  

[Bridge]
Now time has passed, and still I see  
That part of you lives on in me  

[Outro]
My eyes adored you every day  
Even as you walked away"
Silly Love Songs,Wings,1976,1,"playful, ironic, catchy","bass line, horns, melodic vocals","pop, soft rock","[Verse]
You said the world has had enough  
Of all this sugar-coated stuff  
But I believe in melodies  
That bring us down to bended knees  

[Chorus]
What's wrong with silly love songs?  
They’ve kept me warm when nights were long  
I’d sing them loud, I’d sing them true  
If it means I can sing to you  

[Verse]
I’ve seen the cynics roll their eyes  
But I’d rather chase butterflies  
With every note and foolish line  
I find a way to make you mine  

[Bridge]
So let them laugh, let them tease  
I’ll write you love songs till I cease  

[Outro]
What’s wrong with singing how I feel?  
Silly or not, this love is real"
